nome_arquivo,temperatura,motor_position,feed_rate,flow_rate
imagens_stream/image_2024-03-08_19-34-03-266.jpg,T:199.97 /200.00 B:50.01 /50.00 @:56 B@:12,,echo:E0 Flow: 100%,FR:100%
imagens_stream/image_2024-03-08_19-34-03-768.jpg,T:199.94 /200.00 B:50.02 /50.00 @:56 B@:12 W:6,,echo:E0 Flow: 100%,FR:100%
imagens_stream/image_2024-03-08_19-34-04-271.jpg,T:199.92 /200.00 B:50.00 /50.00 @:56 B@:14,,echo:E0 Flow: 100%,FR:100%
imagens_stream/image_2024-03-08_19-34-04-811.jpg,T:199.91 /200.00 B:50.01 /50.00 @:56 B@:13 W:5,,echo:E0 Flow: 100%,FR:100%
imagens_stream/image_2024-03-08_19-34-05-351.jpg,T:199.90 /200.00 B:50.01 /50.00 @:56 B@:12,,echo:E0 Flow: 100%,FR:100%
imagens_stream/image_2024-03-08_19-34-05-857.jpg,T:199.92 /200.00 B:50.01 /50.00 @:56 B@:12 W:4,,echo:E0 Flow: 100%,FR:100%
imagens_stream/image_2024-03-08_19-34-06-390.jpg,T:199.93 /200.00 B:49.99 /50.00 @:56 B@:15,,echo:E0 Flow: 100%,FR:100%
imagens_stream/image_2024-03-08_19-34-06-893.jpg,T:199.91 /200.00 B:49.99 /50.00 @:56 B@:15 W:3,,echo:E0 Flow: 100%,FR:100%
imagens_stream/image_2024-03-08_19-34-07-432.jpg,T:199.93 /200.00 B:49.99 /50.00 @:56 B@:14,,echo:E0 Flow: 100%,FR:100%
imagens_stream/image_2024-03-08_19-34-07-933.jpg,T:199.93 /200.00 B:50.00 /50.00 @:56 B@:14 W:2,,echo:E0 Flow: 100%,FR:100%
imagens_stream/image_2024-03-08_19-34-08-473.jpg,T:199.91 /200.00 B:50.00 /50.00 @:56 B@:14,,echo:E0 Flow: 100%,FR:100%
imagens_stream/image_2024-03-08_19-34-08-976.jpg,T:199.91 /200.00 B:50.00 /50.00 @:56 B@:14 W:1,,echo:E0 Flow: 100%,FR:100%
imagens_stream/image_2024-03-08_19-34-09-520.jpg,T:199.91 /200.00 B:50.00 /50.00 @:56 B@:14,,echo:E0 Flow: 100%,FR:100%
imagens_stream/image_2024-03-08_19-34-10-056.jpg,T:199.94 /200.00 B:49.99 /50.00 @:56 B@:15,,echo:E0 Flow: 100%,FR:100%
imagens_stream/image_2024-03-08_19-34-10-597.jpg,T:199.94 /200.00 B:49.99 /50.00 @:56 B@:15,,echo:E0 Flow: 100%,FR:100%
